,city,country,cloudiness,date,humidity,lat,lng,max_temp,wind_speed
0,Butaritari,KI,100,Thu May 30 12:59:52 2019,80,3.07,172.79,82.88059999999999,14.428263000000001
1,Iqaluit,CA,75,Thu May 30 12:59:52 2019,75,63.75,-68.52,41.0,6.934514000000001
2,Busselton,AU,100,Thu May 30 12:59:52 2019,34,-33.64,115.35,64.99400000000007,18.119214
3,Cartagena,ES,0,Thu May 30 12:59:52 2019,60,37.63,-1.0,75.2,9.171454
4,Mayskiy,RU,0,Thu May 30 12:59:52 2019,38,43.63,44.06,77.0,4.47388
5,Muzhi,RU,0,Thu May 30 12:59:52 2019,73,65.4,64.7,33.20060000000005,5.9502604
6,Vila Velha,BR,75,Thu May 30 12:59:52 2019,88,-3.71,-38.6,80.99600000000005,10.289924
7,Bredasdorp,ZA,90,Thu May 30 12:59:52 2019,82,-34.53,20.04,57.2,2.23694
8,Barrow,AR,100,Thu May 30 12:59:52 2019,51,-38.31,-60.23,51.920600000000015,6.71082
9,Narsaq,GL,20,Thu May 30 12:59:52 2019,14,60.91,-46.05,60.8,20.803542000000004
10,Port Hueneme,US,75,Thu May 30 12:59:52 2019,77,34.15,-119.2,78.00800000000001,8.052984
11,Rio Gallegos,AR,0,Thu May 30 12:59:52 2019,59,-51.62,-69.22,37.4,5.816044000000001
12,Sorong,ID,97,Thu May 30 12:59:52 2019,95,-0.86,131.25,76.04060000000007,1.9461378
13,Kodiak,US,1,Thu May 30 12:59:52 2019,35,39.95,-94.76,73.00400000000005,8.052984
14,Souillac,FR,0,Thu May 30 12:59:52 2019,53,45.6,-0.6,73.00400000000005,8.052984
15,Port Alfred,ZA,63,Thu May 30 12:59:52 2019,56,-33.59,26.89,63.08059999999999,6.3976484000000005
16,Qaanaaq,GL,15,Thu May 30 12:59:52 2019,74,77.48,-69.36,33.20060000000005,2.013246
17,Ust-Nera,RU,77,Thu May 30 12:59:52 2019,59,64.57,143.24,46.520600000000016,2.9974996000000003
18,Chacabuco,AR,100,Thu May 30 12:59:52 2019,91,-34.64,-60.47,51.20060000000005,11.922890200000001
19,Rikitea,PF,100,Thu May 30 12:59:52 2019,80,-23.12,-134.97,76.76060000000004,13.332162400000001
20,Ust-Barguzin,RU,36,Thu May 30 12:59:52 2019,76,53.41,109.03,38.78059999999999,2.2816788000000003
21,Rafai,CF,80,Thu May 30 12:59:52 2019,89,4.95,23.92,72.26060000000004,0.5368656
22,Vadso,NO,40,Thu May 30 12:59:52 2019,81,70.07,29.75,44.6,24.158952000000003
23,Miranda,CO,75,Thu May 30 12:59:52 2019,69,3.25,-76.23,78.8,2.23694
24,Hermanus,ZA,100,Thu May 30 12:59:52 2019,92,-34.42,19.24,59.0,7.9858758000000005
25,Hobart,AU,40,Thu May 30 12:59:52 2019,93,-42.88,147.33,50.0,6.934514000000001
26,Orhei,MD,40,Thu May 30 12:59:52 2019,88,47.39,28.83,66.2,8.052984
27,New Norfolk,AU,40,Thu May 30 12:59:52 2019,93,-42.78,147.06,50.0,6.934514000000001
